Id,Name,Short description,Gender,Country,Occupation,Birth year,Death year,Manner of death,Age of death
Q23,George Washington,1st president of the United States (1732–1799),Male,United States of America; Kingdom of Great Britain,Politician,1732,1799,natural causes,67
Q42,Douglas Adams,English writer and humorist,Male,United Kingdom,Artist,1952,2001,natural causes,49
Q260,Jean-François Champollion,French classical scholar,Male,Kingdom of France; First French Empire,Egyptologist,1790,1832,natural causes,42
Q303,Elvis Presley,American singer and actor (1935–1977),Male,United States of America,Artist,1935,1977,natural causes,42
Q346,Louis IX of France,king of France,Male,France,Ruler,1214,1270,natural causes,56
Q409,Bob Marley,"Jamaican singer, songwriter and musician",Male,Jamaica,Artist,1945,1981,natural causes,36
Q410,Carl Sagan,"American astrophysicist, cosmologist, author and science educator",Male,United States of America,Researcher,1934,1996,natural causes,62
Q449,Georges Brassens,French singer-songwriter and poet,Male,France,Artist,1921,1981,natural causes,60
Q493,Arthur Rimbaud,"19th century French poet who influenced modern literature and arts, and prefigured surrealism",Male,France; French Third Republic; Second French Empire,Artist,1854,1891,natural causes,37
Q501,Charles Baudelaire,"French poet, essayist and art critic (1821-1867)",Male,France,Artist,1821,1867,natural causes,46
Q502,Stendhal,19th century French writer,Male,France,Artist,1783,1842,natural causes,59
Q512,Vladimir Vysotsky,"Soviet singer, songwriter, poet and actor",Male,Soviet Union,Artist,1938,1980,natural causes,42
Q517,Napoleon,French general and emperor (1769-1821),Male,France,Politician,1769,1821,natural causes,52
Q529,Louis Pasteur,French chemist and microbiologist,Male,France,Researcher,1822,1895,natural causes,73
Q539,Giuseppe Garibaldi,"Italian general, patriot and republican (1807-1882)",Male,French Third Republic; First French Empire; Riograndense Republic; Kingdom of Sardinia; Kingdom of Italy,Artist,1807,1882,natural causes,75
Q619,Nicolaus Copernicus,"Renaissance-era mathematician, astronomer, and clergyman who formulated the heliocentric model of the Universe",Male,Kingdom of Poland,Researcher,1473,1543,natural causes,70
Q687,Molière,French playwright and actor,Male,Kingdom of France,Artist,1622,1673,natural causes,51
Q742,Jean Racine,French dramatist,Male,Kingdom of France,Researcher,1639,1699,natural causes,60
Q755,Paul Verlaine,French poet,Male,France,Artist,1844,1896,natural causes,52
Q762,Leonardo da Vinci,Italian Renaissance polymath (1452-1519),Male,Republic of Florence,Researcher,1452,1519,natural causes,67
Q820,Juan Antonio Rios,Chilean politician and President (1888-1946),Male,Chile,Politician,1888,1946,natural causes,58
Q835,Mikhail Bulgakov,Russian author,Male,Soviet Union; Russian Empire,Artist,1891,1940,natural causes,49
Q838,Andrei Rublev,medieval Russian artist,Male,Grand Duchy of Moscow,Artist,1360,1428,natural causes,68
Q845,Pedro Aguirre Cerda,Chilean politician and President (1879-1941),Male,Chile,Politician,1879,1941,natural causes,62
Q853,Andrei Tarkovsky,"Soviet and Russian filmmaker, writer, film editor, film theorist, and theatre and opera director",Male,Soviet Union,Artist,1932,1986,natural causes,54
Q855,Joseph Stalin,"Soviet politician, general secretary of the Communist Party of the Soviet Union and premier of the Soviet Union (1878-1953)",Male,Soviet Union; Russian Empire; Russian Soviet Federative Socialist Republic,Politician,1879,1953,natural causes,74
Q862,Joseph Brodsky,Russian-American poet,Male,United States of America; Soviet Union,Artist,1940,1996,natural causes,56
Q868,Aristotle,ancient Greek philosopher,Male,NA,Philosopher,-384,-322,natural causes,62
Q885,Józef Piłsudski,"Polish politician, First Marshall and Prime Minister (1867-1935)",Male,Poland; Russian Empire; Second Polish Republic,Politician,1867,1935,natural causes,68
Q905,Franz Kafka,Bohemian novelist and short story writer,Male,Austria-Hungary; Czechoslovakia,Artist,1883,1924,natural causes,41
Q937,Albert Einstein,German-born theoretical physicist; developer of the theory of relativity (1879–1955),Male,United States of America; Switzerland; Austria-Hungary; Weimar Republic; German Empire,Researcher,1879,1955,natural causes,76
Q939,Pedro I of Brazil,first Emperor of Brazil (1798-1834),Male,Kingdom of Portugal; Empire of Brazil,Artist,1798,1834,natural causes,36
Q997,Andrei Sakharov,Soviet nuclear physicist and human rights activist,Male,Soviet Union; Russian Soviet Federative Socialist Republic,Researcher,1921,1989,natural causes,68
Q1031,France Prešeren,"Slovene national poet, a Carniolan Romantic poet of Slovene descent",Male,Austrian Empire; Illyrian Provinces,Artist,1800,1849,natural causes,49
Q1192,Jean-Baptiste Lully,Italian-born French composer,Male,Kingdom of France; Grand Duchy of Tuscany,Artist,1632,1687,natural causes,55
Q1268,Frédéric Chopin,Polish composer and pianist,Male,Poland,Artist,1810,1849,natural causes,39
Q1271,Trygve Lie,1st Secretary-General of the United Nations (1896-1968),Male,Norway,Politician,1896,1968,natural causes,72
Q1290,Blaise Pascal,"French mathematician, physicist, inventor, writer, and Christian philosopher",Male,Kingdom of France,Researcher,1623,1662,natural causes,39
Q1298,Pedro Montt,Chilean politician and President (1849-1910),Male,Chile,Politician,1849,1910,natural causes,61
Q1318,Aníbal Zañartu,Chilean politician and Vice President (1847-1902),Male,Chile,Politician,1847,1902,natural causes,55
Q1326,Federico Errázuriz Zañartu,Chilean politician (1825-1877),Male,Chile,Politician,1825,1877,natural causes,52
Q1339,Johann Sebastian Bach,German composer and musician of the Baroque era,Male,Holy Roman Empire; Saxe-Eisenach,Artist,1685,1750,natural causes,65
Q1381,Dave Arneson,American game designer,Male,United States of America,Game designer; role-playing game designer,1947,2009,natural causes,62
Q1394,Vladimir Lenin,"Russian politician, communist theorist, and founder of the Soviet Union (1870-1924)",Male,Russian Soviet Federative Socialist Republic; Soviet Union; Russian Empire,Politician,1870,1924,natural causes,54
Q1463,Ferdinand Marcos,former president of the Philippines from 1965 to 1986,Male,Philippines,Politician,1917,1989,natural causes,72
Q1480,Corazon Aquino,Philippine politician and President (1933-2009),Female,Philippines,Politician,1933,2009,natural causes,76
Q1503,Manuel L. Quezon,Second President of the Philippines from 1935 to 1944,Male,Philippines,Politician,1878,1944,natural causes,66
Q1511,Richard Wagner,German composer and conductor,Male,Germany,Artist,1813,1883,natural causes,70
Q1512,Robert Louis Stevenson,"Scottish novelist, poet, essayist, and travel writer",Male,United Kingdom of Great Britain and Ireland,Artist,1850,1894,natural causes,44
Q1618,Charles Lindbergh,"American aviator, author, inventor, explorer, and social activist",Male,United States of America,Artist,1902,1974,natural causes,72
Q1631,Édith Piaf,French singer,Female,France,Artist,1915,1963,natural causes,48
Q1638,Primo Nebiolo,Italian sports official and IAAF president,Male,Italy; Kingdom of Italy,Athlete,1923,1999,natural causes,76
Q1646,Françoise Sagan,French writer,Female,France,Artist,1935,2004,natural causes,69
Q1666,Jacques Brel,Belgian singer-songwriter,Male,Belgium,Artist,1929,1978,natural causes,49
Q1698,Serge Gainsbourg,"French singer, songwriter, pianist, film composer, poet, painter, screenwriter, writer, actor and director (1928-1991)",Male,France,Artist,1928,1991,natural causes,63
Q1768,Ella Fitzgerald,American jazz singer,Female,United States of America,Artist,1917,1996,natural causes,79
Q1775,Brownie Mary,American medical cannabis activist,Female,United States of America,Activist,1922,1999,natural causes,77
Q1779,Louis Armstrong,"American jazz trumpeter, composer and singer",Male,United States of America,Artist,1900,1971,natural causes,71
Q2001,Stanley Kubrick,American filmmaker,Male,United States of America,Athlete,1928,1999,natural causes,71
Q2185,Georges Pompidou,19th President of the French Republic (1911-1974),Male,France,Politician,1911,1974,natural causes,63
Q2196,Pierre Desproges,French humorist,Male,France,Artist,1939,1988,natural causes,49
Q2291,Totò,"Italian comedian, actor, and musician",Male,Italy; Kingdom of Italy,Artist,1898,1967,natural causes,69
Q2514,Willy Brandt,"Chancellor of West Germany (1969–1974), SPD",Male,Norway; German Empire; West Germany,Artist,1913,1992,natural causes,79
Q2643,George Harrison,British musician and lead guitarist of the Beatles (1943-2001),Male,United Kingdom,Artist,1943,2001,natural causes,58
Q2646,Friedrich Ebert,"German politician, president of Germany (1871-1925)",Male,Germany; Baden,Politician,1871,1925,natural causes,54
Q2737,Louis de Funès,French actor and comedian,Male,France,Artist,1914,1983,natural causes,69
Q2750,Bourvil,"French actor, comedian and singer",Male,France,Artist,1917,1970,natural causes,53
Q2754,Jaroslav Hašek,"Czech humorist, satirist, writer and anarchist",Male,Austria-Hungary; Czechoslovakia,Journalist,1883,1923,natural causes,40
Q2831,Michael Jackson,American recording artist; singer and songwriter (1958-2009),Male,United States of America,Athlete,1958,2009,natural causes,51
Q3166,Denny Hulme,New Zealand racing driver,Male,New Zealand,Racing automobile driver; formula one driver,1936,1992,natural causes,56
Q3335,George Orwell,English author and journalist,Male,United Kingdom; United Kingdom of Great Britain and Ireland,Artist,1903,1950,natural causes,47
Q4030,Duke Ellington,"American jazz musician, composer and band leader",Male,United States of America,Artist,1899,1974,natural causes,75
Q4064,Ramesses V,pharaoh in the ancient Egypt,Male,Ancient Egypt,Sovereign,-1200,-1145,natural causes,55
Q4137,Elsa Triolet,French writer,Female,France; Russian Empire,Artist,1896,1970,natural causes,74
Q4145,Patrice O'Neal,"American stand-up comedian, radio personality, and actor (1969-2011)",Male,United States of America,Artist,1969,2011,natural causes,42
Q4227,James Coburn,American actor,Male,United States of America,Artist,1928,2002,natural causes,74
Q4441,Emily Dickinson,American poet,Female,United States of America,Artist,1830,1886,natural causes,56
Q4443,Pius VIII,Pope (1829-30),Male,NA,Religious figure,1761,1830,natural causes,69
Q4448,Benedict XV,258th Pope of the Catholic Church,Male,Kingdom of Italy,Religious figure,1854,1922,natural causes,68
Q4583,Anne Frank,German-born diarist and Holocaust victim (1929-1945),Female,Germany,Artist,1929,1945,natural causes,16
Q4604,Confucius,"Chinese teacher, editor, politician and philosopher",Male,Lu,Artist,-552,-479,natural causes,73
Q4605,Sarah Bernhardt,French actress,Female,France,Artist,1844,1923,natural causes,79
Q4631,Mohamed Morsi,5th President of Egypt (1951-2019),Male,Egypt,Politician,1951,2019,natural causes,68
Q4700,Claude Debussy,French composer,Male,French Third Republic; Second French Empire,Artist,1862,1918,natural causes,56
Q4724,Le Corbusier,"Swiss-French architect, designer, urbanist, and writer (1886-1965)",Male,Switzerland; France,Artist,1887,1965,natural causes,78
Q4761,Ernst Mielck,Finnish composer,Male,Grand Duchy of Finland,Artist,1877,1899,natural causes,22
Q4762,Roy Budd,British jazz musician and composer,Male,United Kingdom,Artist,1947,1993,natural causes,46
Q5031,Elder Paisios of Mount Athos,Greek Eastern Orthodox monk,Male,Greece; Turkey,Monk; ascetic,1924,1994,natural causes,70
Q5152,Mustafa Kemal Atatürk,Founding father of the Turkish nation state (1881-1938),Male,Turkey; Ottoman Empire,Politician,1881,1938,natural causes,57
Q5198,Walter of Châtillon,12th-century French writer and theologian,Male,France,Artist,1135,1201,natural causes,66
Q5383,David Bowie,"British singer, musician, and actor (1947-2016)",Male,United Kingdom,Artist,1947,2016,natural causes,69
Q5396,Louis Blériot,"French aviator, inventor and engineer",Male,France,Businessperson,1872,1936,natural causes,64
Q5444,Pietro Mennea,Italian sprinter and politician (1952-2013),Male,Italy,Athlete,1952,2013,natural causes,61
Q5571,Andrea del Sarto,Italian painter (1486-1530),Male,Republic of Florence,Artist,1486,1530,natural causes,44
Q5588,Frida Kahlo,Mexican painter,Female,Mexico,Artist,1907,1954,natural causes,47
Q5603,Andy Warhol,American artist and film director and producer (1928-1987),Male,United States of America,Artist,1928,1987,natural causes,59
Q5682,Miguel de Cervantes,"Spanish novelist, poet, and playwright",Male,Spain,Artist,1547,1616,natural causes,69
Q5685,Anton Chekhov,"Russian dramatist, author and physician",Male,Russian Empire,Artist,1860,1904,natural causes,44
Q5686,Charles Dickens,English writer and social critic,Male,United Kingdom of Great Britain and Ireland,Artist,1812,1870,natural causes,58
