Variável,Item,Fator
a1,"Muitas vezes, eu fico nervoso.",Afeto negativo
a2,Me sinto confiante no dia a dia.,Afeto positivo
a3,Sou corajoso.,Afeto positivo
a4,Tenho me sentido cansado nos últimos meses.,Afeto negativo
a5,Ando muito preocupado nos últimos tempos.,Afeto negativo
a6,Sou determinado para conseguir o que eu quero.,Afeto positivo
a7,Me sinto culpado por coisas que eu fiz no passado.,Afeto negativo
a8,Sou apaixonado por algumas coisas que eu faço.,Afeto positivo
a9,Muitas situações me deixaram alegre nos últimos tempos.,Afeto positivo
a10,Fico zangado quando sou contrariado.,Afeto negativo
a11,As pessoas dizem que sou mal-humorado.,Afeto negativo
a12,Ultimamente ocorreram situações em que senti muita raiva de algumas pessoas.,Afeto negativo
a13,Em geral eu me sinto forte para superar as dificuldades da vida.,Afeto positivo
a14,Me dá prazer experimentar coisas novas.,Afeto positivo
a15,Sinto orgulho de mim mesmo.,Afeto positivo
a16,Eu me irrito facilmente.,Afeto negativo
a17,Sou valente quando estou diante de um desafio.,Afeto positivo
a18,Sou uma pessoa feliz.,Afeto positivo
a19,Nos últimos tempos ocorreram situações em que me senti humilhado.,Afeto negativo
a20,Tenho me sentido triste ultimamente.,Afeto negativo
