Variável,Item,Fator
r1,Eles têm conseguido mais do que merecem,Negação do preconceito
r2,Eles recebem muito respeito e consideração,Negação do preconceito
r3,Eles são muito exigentes em relação aos seus direitos,Negação do preconceito
r4,A discriminação não é um problema do Brasil,Negação do preconceito
r5,Eles têm muita influência política,Negação do preconceito
r6,"Eles não necessitam de ajuda, apenas devem se esforçar",Negação do preconceito
r7,Eles devem superar o preconceito sem apoio como aconteceu com outros grupos,Negação do preconceito
r8,Eles são mais habilidosos em trabalhos manuais,Afirmação das diferenças
r9,Possuem maior habilidade culinária,Afirmação das diferenças
r10,Estão em moda suas danças pela sensualidade que expressam,Afirmação das diferenças
r11,Tem-se dada demasiada importância aos seus movimentos de protesto,Negação do preconceito
r12,Parece pouco prudente dar importância as suas queixas,Negação do preconceito
r13,Apresentam melhor desempenho em modalidades esportivas,Afirmação das diferenças
r14,Possuem uma beleza diferente,Afirmação das diferenças
