ID,grupo,erros_direcao,experiencia
1,Placebo,5,12
2,Placebo,10,5
3,Placebo,7,9
4,Placebo,3,24
5,Placebo,5,15
6,Placebo,7,6
7,Placebo,11,3
8,Placebo,2,30
9,Placebo,3,20
10,Placebo,5,10
11,Placebo,6,7
12,Placebo,6,8
13,PoucoAlcool,5,21
14,PoucoAlcool,7,16
15,PoucoAlcool,9,7
16,PoucoAlcool,8,15
17,PoucoAlcool,2,30
18,PoucoAlcool,5,21
19,PoucoAlcool,6,12
20,PoucoAlcool,6,13
21,PoucoAlcool,4,26
22,PoucoAlcool,4,24
23,PoucoAlcool,8,9
24,PoucoAlcool,10,6
25,MuitoAlcool,8,29
26,MuitoAlcool,10,8
27,MuitoAlcool,8,26
28,MuitoAlcool,9,20
29,MuitoAlcool,11,18
30,MuitoAlcool,15,6
31,MuitoAlcool,7,12
32,MuitoAlcool,11,7
33,MuitoAlcool,8,15
34,MuitoAlcool,8,9
35,MuitoAlcool,17,3
36,MuitoAlcool,11,7
