e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,renda_familiar,n_de_familiares,sexo,idade,cor_raca,estado_civil,area_de_formacao,formacao_academica
2,4,5,4,2,5,2,5,4,5,1,4,4,5,5,2,5,4,4,5,1,5,1,4,4,5,1,2,1,1,2,1,1,2,2,2,1,1,2,2,4,3,2,5,5,5,2,3,2,4,4,5,3,5,3,4,3,3,4,5,3600,2,Feminino,21,Parda,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
5,4,3,5,5,5,5,3,5,5,5,5,5,5,1,2,5,2,5,4,2,5,2,2,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,4,5,4,4,3,4,4,3,2,4,4,3,3,2,4,4,2,2,3000,4,Masculino,24,Parda,Solteiro(a),"Engenharia, Produção e Construção. Ex.: Engenharia Elétrica, Tecnologia em construção de edifícios, etc.;",Ciências exatas e biológicas
4,4,4,3,5,4,5,5,4,4,5,5,5,4,2,4,4,5,4,5,5,5,2,4,5,5,1,1,5,1,1,1,1,1,1,1,4,1,2,2,5,3,4,5,5,5,5,5,4,4,4,5,3,5,3,4,4,4,4,5,1200,5,Masculino,20,Parda,Solteiro(a),"Educação. Ex.: Pedagogia, cursos de licenciatura, etc.;","Ciências sociais, artes e educação"
2,3,4,4,2,2,2,5,4,5,2,5,4,5,3,2,3,3,3,5,3,4,2,5,2,3,1,2,1,1,2,1,1,4,4,2,4,1,4,7,3,2,4,4,4,4,3,2,3,2,2,4,4,4,3,2,3,2,3,4,2000,5,Feminino,21,Branca,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
2,4,5,5,4,5,3,5,4,5,2,5,4,2,2,1,3,4,5,5,4,5,3,5,4,3,1,3,2,1,2,1,1,1,4,3,3,1,3,7,5,3,3,5,3,4,5,3,5,1,1,1,2,5,3,1,3,5,1,2,500,2,Masculino,18,Parda,Solteiro(a),"Engenharia, Produção e Construção. Ex.: Engenharia Elétrica, Tecnologia em construção de edifícios, etc.;",Ciências exatas e biológicas
2,5,5,5,3,3,2,3,5,4,1,3,4,3,4,1,5,2,3,3,3,4,3,1,3,4,2,3,3,1,2,1,1,1,1,1,1,1,1,7,2,4,5,4,5,5,4,5,3,5,3,2,5,5,5,5,5,5,2,3,5000,5,Masculino,21,Branca,Solteiro(a),"Saúde e Bem-estar. Ex.: Medicina, Educação física, Odontologia, Serviço social, etc.;",Saúde
1,4,5,5,3,3,4,4,4,4,4,4,5,5,1,3,4,3,5,5,4,4,1,5,5,5,1,2,2,1,2,1,1,4,4,2,3,1,4,4,4,5,2,3,4,4,3,4,4,3,1,2,3,3,3,3,3,4,2,2,4000,5,Feminino,18,Parda,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
2,5,5,5,5,5,5,4,5,3,3,3,5,5,1,3,5,4,5,4,5,5,3,5,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,4,4,4,4,5,4,3,2,3,4,4,3,2,3,4,1,2,2862,2,Feminino,19,Branca,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
3,5,5,5,5,4,5,4,5,4,3,3,4,4,2,2,4,2,4,4,2,5,3,3,4,5,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,3,4,3,4,5,3,4,4,2,2,2,3,5,4,2,4,4,1,2,2745,5,Feminino,18,Parda,Solteiro(a),"Saúde e Bem-estar. Ex.: Medicina, Educação física, Odontologia, Serviço social, etc.;",Saúde
5,3,5,3,5,2,5,5,3,3,5,4,3,3,2,2,3,4,4,4,3,2,2,2,4,4,4,2,5,1,3,3,3,1,1,6,3,3,1,7,3,4,3,4,3,3,3,4,4,2,2,4,3,5,4,3,3,4,2,2,1650,3,Feminino,19,Branca,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
