df_hora,tcle,prof_educao_basica,atuou_meses,dass1,dass2,dass3,dass4,dass5,dass6,dass7,dass8,dass9,dass10,dass11,dass12,dass13,dass14,dass15,dass16,dass17,dass18,dass19,dass20,dass21,n_escolas,eactd1,eactd2,eactd3,eactd4,eactd5,eactd6,eactd7,eactd8,eactd9,eactd10,eactd11,eactd12,eactd13,eactd14,eactd15,eactd16,eactd17,eactd18,eactd19,eactd20,eactd21,eactd22,eactd23,eactd24,eactd25,eactd26,eactd27,eactd28,eactd29,eactd30,eactd31,eactd32,eactd33,eactd34,eactd35,eactd36,eactd37,eactd38,eactd39,eactd40,eactd41,eactd42,eactd43,eactd44,eactd45,eactd46,eactd47,eactd48,eactd49,eactd50,eactd51,eactd52,eactd53,eactd54,eactd55,eactd56,eactd57,eactd58,ehelde1,ehelde2,ehelde3,ehelde4,ehelde5,ehelde6,ehelde7,ehelde8,ehelde9,ehelde10,ehelde11,ehelde12,ehelde13,ehelde14,ehelde15,ehelde16,ehelde17,ehelde18,ehelde19,ehelde20,ehelde21,ehelde22,ehelde23,ehelde24,ehelde25,ehelde26,ehelde27,ehelde28,ehelde29,ehelde30,ehelde31,ehelde32,ehelde33,ehelde34,ehelde35,ehelde36,ehelde37,ehelde38,ehelde39,ehelde40,ehelde41,ehelde42,ehelde43,ehelde44,ehelde45,ehelde46,ehelde47,ehelde48,ehelde49,ehelde50,ehelde51,ehelde52,ehelde53,ehelde54,idade,sexo,genero,corraca,estadocivil,escolaridade,rendafamiliar,deprenda,ndeensino,contrato,deficiencia,meioescola,estado,rede,tempoexperiencia
2023-07-18T01:15:27Z,Sim,Sim,Sim,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,2,3,2,1,1,2,1 Escola,1,2,3,3,5,4,3,3,1,2,2,1,1,5,1,4,3,2,3,2,4,5,2,4,4,3,5,2,2,1,5,3,4,1,5,1,2,5,3,4,5,3,4,3,3,2,2,2,5,1,2,3,4,3,4,2,1,5,6,2,1,2,5,2,1,4,2,1,1,1,9,1,1,1,5,1,2,1,1,1,1,1,3,1,1,1,2,2,1,1,1,4,1,6,5,7,2,2,1,2,7,6,2,1,1,1,1,1,7,4,1,1,34,Feminino,Mulher cis,Preto,Casado(a),Especialização,3000,3,Educação de Jovens e Adultos (EJA),Efetivo/Concursado,Não,Urbano,Paraíba,Municipal (pública),10
2023-08-24T05:37:24Z,Sim,Não,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-06-27T04:59:59Z,Sim,Sim,Sim,2,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1 Escola,5,4,4,5,3,3,4,4,3,3,5,3,5,4,3,3,2,4,2,4,4,3,4,2,3,4,3,4,4,3,3,3,3,4,4,2,3,4,4,3,1,4,1,3,3,2,2,4,4,2,2,2,4,3,2,4,2,2,9,9,9,9,7,9,9,9,1,9,9,9,1,9,9,9,2,6,8,8,8,9,8,9,9,9,8,9,7,8,7,7,8,8,8,8,8,2,8,8,8,8,8,1,8,8,8,8,7,8,7,9,9,9,55,Masculino,Homem cis,Pardo,Viúvo(a),Especialização,9000,2,Ensino Médio,Efetivo/Concursado,Não,Urbano,São Paulo,Estadual (pública),25
2023-06-27T05:33:51Z,Sim,Sim,Sim,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 Escola,3,3,3,5,5,3,2,3,3,5,5,2,2,1,3,3,3,2,3,3,3,3,3,3,2,2,2,3,3,2,5,3,3,2,2,3,5,3,3,2,2,3,2,5,3,3,3,5,5,5,3,1,3,1,5,3,1,1,7,3,5,6,5,6,6,6,8,7,5,7,2,6,7,6,2,3,3,2,5,2,1,3,4,5,5,5,1,1,6,6,2,4,3,1,8,1,2,2,2,3,4,4,3,2,8,5,4,6,7,5,6,4,52,Feminino,Mulher de verdade,Pardo,Casado(a),Curso superior completo,NA,2,Fundamental II (Anos finais do Ensino Fundamental),Temporário/Substituto,Não,Urbano,Bahia,Municipal (pública),8
2023-06-27T08:12:27Z,Sim,Sim,Sim,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1 Escola,3,2,2,3,3,5,3,5,4,3,5,2,3,5,2,2,3,3,3,3,5,5,3,3,5,5,3,3,3,3,1,3,5,3,3,3,3,2,3,3,3,4,3,3,3,5,3,3,3,3,4,3,3,3,3,3,3,3,5,3,5,5,7,5,6,8,5,5,5,3,7,5,5,5,6,5,5,5,5,3,4,7,4,6,5,5,4,5,5,5,4,5,5,5,5,5,4,5,7,7,8,5,8,3,4,5,4,4,7,6,7,7,37,Feminino,Mulher cis,Pardo,Solteiro(a),Especialização,2800,7,Educação Infantil,Temporário/Substituto,Não,Urbano,Ceará,Municipal (pública),8
2023-07-18T01:11:43Z,Sim,Sim,Sim,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1 Escola,2,3,1,4,1,5,1,2,3,3,3,2,2,5,3,5,3,1,1,3,3,3,3,3,3,4,3,3,5,1,3,2,2,2,4,1,2,1,5,1,2,3,3,3,3,5,2,5,3,1,2,3,1,2,1,3,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,5,5,5,7,5,5,7,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,33,Feminino,Mulher cis,Pardo,Casado(a),Especialização,3000,5,Educação Infantil,Efetivo/Concursado,Não,Urbano,Minas Gerais,Municipal (pública),5
2023-07-18T06:32:49Z,Sim,Não,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-06-27T06:27:37Z,Sim,Sim,Não,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-06-27T10:56:52Z,Sim,Sim,Sim,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1 Escola,4,4,3,3,2,3,2,4,4,4,4,3,4,5,4,3,4,3,3,4,3,3,4,2,4,5,2,4,4,2,3,4,3,4,3,3,4,2,2,2,4,3,2,3,4,1,3,4,2,4,3,2,2,4,4,4,1,3,8,8,9,9,3,9,9,8,2,9,8,8,1,9,8,8,5,8,8,9,8,8,8,9,8,9,8,9,8,8,8,9,9,9,8,7,8,2,8,8,9,8,8,1,8,8,8,7,8,8,6,8,9,8,47,Masculino,Homem cis,Pardo,Casado(a),Especialização,8000,6,Fundamental I (Anos iniciais do Ensino Fundamental);Fundamental II (Anos finais do Ensino Fundamental),Efetivo/Concursado,Não,Urbano,Ceará,Municipal (pública),23
2023-07-19T12:57:11Z,Sim,Sim,Não,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
