id,fantasy1,fantasy2,fantasy3,fantasy4,fantasy5,fantasy6,fantasy7,empathic_concern_1,empathic_concern_2,empathic_concern_3,empathic_concern_4,empathic_concern_5,empathic_concern_6,empathic_concern_7,personal_distress1,personal_distress2,personal_distress3,personal_distress4,personal_distress5,personal_distress6,role_taking1,role_taking2,role_taking3,role_taking4,role_taking5,role_taking6,prejudice_denial1,prejudice_denial2,prejudice_denial3,prejudice_denial4,prejudice_denial5,prejudice_denial6,prejudice_denial7,prejudice_denial8,prejudice_denial9,statement_of_differences1,statement_of_differences2,statement_of_differences3,statement_of_differences4,statement_of_differences5,negative_affects1,negative_affects2,negative_affects3,negative_affects4,negative_affects5,negative_affects6,negative_affects7,negative_affects8,negative_affects9,negative_affects10,positive_affects1,positive_affects2,positive_affects3,positive_affects4,positive_affects5,positive_affects6,positive_affects7,positive_affects8,positive_affects9,positive_affects10,gender,age,race,marital_status,household_income,family_members,academic_background
1.00,2.00,2.00,2.00,1.00,1.00,5.00,4.00,4.00,4.00,4.00,4.00,5.00,4.00,1.00,5.00,5.00,4.00,2.00,4.00,1.00,5.00,5.00,5.00,5.00,4.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,4.00,5.00,5.00,2.00,4.00,4.00,5.00,4.00,4.00,5.00,3.00,2.00,5.00,3.00,2.00,3.00,5.00,3.00,3.00,3.00,Female,21.00,brown,single,3600.00,2.00,social_sciences_arts_education
2.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,5.00,5.00,5.00,5.00,5.00,2.00,5.00,5.00,5.00,2.00,2.00,2.00,3.00,3.00,5.00,4.00,2.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,5.00,4.00,3.00,3.00,2.00,4.00,2.00,2.00,2.00,3.00,4.00,4.00,4.00,4.00,4.00,3.00,3.00,4.00,4.00,Male,24.00,brown,single,3000.00,4.00,exact_ biological_sciences
3.00,4.00,5.00,5.00,5.00,4.00,5.00,5.00,4.00,3.00,4.00,5.00,4.00,4.00,5.00,4.00,4.00,5.00,4.00,5.00,2.00,4.00,5.00,4.00,5.00,4.00,5.00,1.00,1.00,4.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,5.00,5.00,5.00,5.00,4.00,4.00,5.00,4.00,4.00,5.00,3.00,4.00,5.00,5.00,4.00,3.00,5.00,3.00,4.00,4.00,Male,20.00,brown,single,1200.00,5.00,social_sciences_arts_education
4.00,2.00,2.00,2.00,2.00,3.00,4.00,2.00,3.00,4.00,4.00,4.00,3.00,3.00,3.00,2.00,5.00,5.00,2.00,3.00,2.00,4.00,5.00,5.00,5.00,5.00,3.00,1.00,1.00,4.00,1.00,1.00,1.00,2.00,1.00,2.00,4.00,2.00,7.00,4.00,4.00,3.00,4.00,4.00,3.00,2.00,2.00,4.00,2.00,3.00,4.00,2.00,4.00,4.00,2.00,3.00,4.00,4.00,3.00,3.00,2.00,Female,21.00,white,single,2000.00,5.00,social_sciences_arts_education
5.00,2.00,4.00,3.00,2.00,4.00,5.00,4.00,4.00,5.00,4.00,4.00,3.00,5.00,4.00,5.00,5.00,5.00,1.00,4.00,3.00,5.00,5.00,2.00,5.00,5.00,3.00,1.00,1.00,3.00,2.00,1.00,1.00,3.00,1.00,2.00,4.00,3.00,7.00,3.00,1.00,5.00,5.00,3.00,5.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,3.00,4.00,3.00,5.00,2.00,5.00,3.00,3.00,5.00,Male,18.00,brown,single,500.00,2.00,exact_ biological_sciences
6.00,2.00,3.00,2.00,1.00,2.00,4.00,3.00,5.00,5.00,5.00,4.00,5.00,3.00,3.00,3.00,4.00,3.00,1.00,2.00,3.00,5.00,3.00,3.00,3.00,1.00,4.00,1.00,2.00,1.00,3.00,1.00,1.00,3.00,1.00,2.00,1.00,1.00,7.00,1.00,1.00,2.00,4.00,5.00,4.00,5.00,3.00,2.00,5.00,2.00,3.00,4.00,5.00,5.00,5.00,3.00,5.00,5.00,5.00,5.00,5.00,Male,21.00,white,single,5000.00,5.00,healthcare 
7.00,1.00,3.00,4.00,4.00,5.00,4.00,5.00,4.00,5.00,4.00,5.00,4.00,5.00,4.00,3.00,4.00,4.00,3.00,3.00,1.00,5.00,4.00,5.00,5.00,5.00,5.00,1.00,1.00,3.00,2.00,1.00,1.00,2.00,1.00,2.00,4.00,2.00,4.00,4.00,4.00,4.00,3.00,4.00,3.00,3.00,1.00,2.00,3.00,2.00,2.00,5.00,2.00,4.00,4.00,4.00,3.00,3.00,3.00,3.00,4.00,Female,18.00,brown,single,4000.00,5.00,social_sciences_arts_education
8.00,2.00,5.00,5.00,3.00,5.00,5.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,3.00,3.00,3.00,4.00,3.00,5.00,4.00,5.00,4.00,5.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,4.00,4.00,4.00,3.00,2.00,3.00,2.00,1.00,2.00,2.00,2.00,4.00,5.00,4.00,4.00,4.00,3.00,3.00,4.00,Female,19.00,white,single,2862.00,2.00,social_sciences_arts_education
9.00,3.00,5.00,5.00,3.00,4.00,5.00,4.00,5.00,5.00,5.00,4.00,4.00,4.00,2.00,4.00,4.00,3.00,2.00,2.00,3.00,5.00,4.00,4.00,4.00,3.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,2.00,2.00,3.00,4.00,3.00,2.00,2.00,2.00,2.00,1.00,2.00,3.00,4.00,5.00,4.00,4.00,3.00,5.00,4.00,4.00,4.00,Female,18.00,brown,single,2745.00,5.00,healthcare 
10.00,5.00,5.00,5.00,5.00,4.00,2.00,4.00,3.00,3.00,3.00,3.00,3.00,4.00,3.00,2.00,3.00,4.00,2.00,4.00,2.00,5.00,5.00,3.00,4.00,2.00,4.00,3.00,4.00,3.00,5.00,3.00,3.00,2.00,1.00,3.00,1.00,6.00,7.00,1.00,1.00,3.00,4.00,3.00,3.00,2.00,2.00,4.00,3.00,2.00,2.00,4.00,3.00,3.00,4.00,4.00,3.00,5.00,4.00,3.00,4.00,Female,19.00,white,single,1650.00,3.00,social_sciences_arts_education
11.00,4.00,4.00,5.00,5.00,4.00,5.00,4.00,5.00,5.00,4.00,5.00,3.00,5.00,3.00,4.00,5.00,5.00,2.00,3.00,3.00,4.00,4.00,4.00,4.00,5.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,4.00,5.00,3.00,2.00,1.00,2.00,3.00,2.00,3.00,4.00,3.00,3.00,4.00,3.00,4.00,4.00,4.00,3.00,4.00,Female,22.00,white,single,1500.00,3.00,social_sciences_arts_education
12.00,3.00,3.00,3.00,3.00,4.00,4.00,2.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,4.00,5.00,5.00,2.00,4.00,2.00,4.00,4.00,2.00,4.00,3.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,3.00,4.00,4.00,2.00,4.00,2.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,4.00,3.00,2.00,2.00,2.00,2.00,3.00,Male,28.00,brown,single,3500.00,4.00,social_sciences_arts_education
13.00,2.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,4.00,4.00,3.00,4.00,4.00,4.00,5.00,5.00,4.00,5.00,3.00,5.00,4.00,3.00,5.00,5.00,4.00,4.00,1.00,2.00,2.00,4.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,4.00,4.00,5.00,5.00,1.00,5.00,5.00,5.00,2.00,3.00,3.00,4.00,4.00,3.00,3.00,5.00,3.00,4.00,3.00,Male,20.00,brown,single,2700.00,3.00,social_sciences_arts_education
14.00,1.00,4.00,4.00,4.00,3.00,1.00,1.00,4.00,5.00,5.00,5.00,5.00,5.00,3.00,5.00,5.00,5.00,5.00,5.00,3.00,4.00,2.00,4.00,3.00,1.00,3.00,1.00,1.00,3.00,3.00,1.00,1.00,7.00,1.00,3.00,1.00,1.00,1.00,5.00,1.00,4.00,5.00,5.00,2.00,5.00,4.00,5.00,5.00,4.00,4.00,2.00,2.00,2.00,3.00,3.00,2.00,5.00,2.00,3.00,3.00,Female,20.00,brown,single,2000.00,4.00,social_sciences_arts_education
15.00,3.00,5.00,5.00,3.00,4.00,5.00,4.00,4.00,5.00,4.00,5.00,3.00,4.00,3.00,4.00,5.00,4.00,2.00,3.00,2.00,4.00,4.00,4.00,4.00,3.00,4.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,6.00,4.00,4.00,4.00,4.00,5.00,4.00,4.00,2.00,2.00,3.00,3.00,2.00,3.00,3.00,4.00,3.00,4.00,2.00,3.00,5.00,4.00,4.00,3.00,Female,24.00,brown,single,2500.00,5.00,social_sciences_arts_education
